ax,ay,az,gx,gy,gz,mx,my,mz,gesture
-0.09552539139986038,0.07356615364551544,0.9894092082977295,-0.07208048552274704,0.15784701704978943,-0.15498237311840057,-7.367961406707764,4.177650451660156,2.190166711807251,up
-0.07010132819414139,0.04127473756670952,0.9689386487007141,-0.0017848126590251923,0.2386542409658432,-0.02536385878920555,-11.858189582824707,6.586114406585693,2.781480550765991,up
-0.1476077139377594,0.07987875491380692,0.9937956929206848,0.10420030355453491,0.4356582760810852,0.007928297854959965,-14.909955978393555,7.60640811920166,2.7009599208831787,up
-0.23325969278812408,0.09031883627176285,0.9842915534973145,0.09534275531768799,0.7594168782234192,-0.06476466357707977,-18.122297286987305,7.9012532234191895,2.3510704040527344,up
-0.3050888776779175,0.07308056950569153,0.9155690670013428,0.044946376234292984,0.5712703466415405,-0.005816170014441013,-21.163776397705078,8.46386432647705,0.13672412931919098,up
-0.39172816276550293,0.09104721993207932,0.8868128061294556,0.16375967860221863,0.5611910820007324,-0.08919927477836609,-23.72224998474121,8.842925071716309,-2.3846282958984375,up
-0.48750039935112,0.09687423706054688,0.8314936757087708,0.021733500063419342,0.5266771912574768,-0.059572312980890274,-26.354116439819336,8.702192306518555,-5.883236885070801,up
-0.543532133102417,0.13766339421272278,0.853670060634613,0.014403115957975388,0.1430538147687912,-0.010703091509640217,-28.091684341430664,9.022869110107422,-8.331679344177246,up
-0.6126461029052734,0.08400622755289078,0.7669140100479126,0.3467138111591339,1.0095661878585815,-0.4978680908679962,-29.654611587524414,8.998116493225098,-11.425115585327148,up
-0.6859562397003174,0.02476484328508377,0.638729453086853,0.061439741402864456,0.6305242776870728,-0.06598639488220215,-31.3825740814209,8.371430397033691,-15.20219612121582,up
-0.757785439491272,0.10173008590936661,0.6577377915382385,-0.0017848126590251923,0.4411560595035553,-0.04216265305876732,-32.71284103393555,8.21331787109375,-18.74653434753418,up
-0.7247094511985779,0.07308056950569153,0.5383263230323792,-0.09555262327194214,0.27194637060165405,0.02961401268839836,-33.7524299621582,8.143006324768066,-21.508750915527344,up
-0.9016906023025513,0.15174536406993866,0.603880763053894,-0.12029266357421875,1.0034575462341309,0.03358463943004608,-34.18656539916992,8.229594230651855,-24.740177154541016,up
-0.7839500308036804,0.0699242651462555,0.340200811624527,0.050444167107343674,0.4729210436344147,-0.014673716388642788,-34.80301284790039,8.068467140197754,-28.28462028503418,up
-0.9513046145439148,0.09978774189949036,0.4254947006702423,0.08862324059009552,0.2505660951137543,0.11208082735538483,-34.9193115234375,7.693359851837158,-31.16623306274414,up
-0.9221779704093933,0.09080442786216736,0.3331335783004761,0.04464094713330269,0.33211660385131836,-0.07484394311904907,-35.71433639526367,7.727213382720947,-33.42123794555664,up
-0.9695703983306885,0.10828548669815063,0.3350831866264343,0.024787824600934982,0.3153178095817566,-0.03361054137349129,-35.68290328979492,7.368671894073486,-35.86295700073242,up
-0.9327919483184814,0.08012154698371887,0.2424783706665039,0.08648522198200226,0.2691974937915802,-0.09164273738861084,-35.046783447265625,7.17521333694458,-38.63747024536133,up
-0.9345197677612305,0.040789153426885605,0.1467055082321167,0.04219748452305794,0.2188011109828949,0.015869546681642532,-34.954185485839844,6.993103981018066,-40.312156677246094,up
-0.968829870223999,0.09129000455141068,0.2278565615415573,-0.025119127705693245,0.24313119053840637,-0.0130359698086977,-35.06594467163086,7.16269588470459,-42.0158576965332,up
-0.946121096611023,0.06191210821270943,0.10089049488306046,0.04767517000436783,0.19339945912361145,-0.00500909611582756,-34.50095748901367,7.109186172485352,-43.93743133544922,up
-1.001905918121338,0.13620664179325104,0.17838609218597412,-0.034180767834186554,0.3216811418533325,-0.06823364645242691,-34.27220153808594,7.279304504394531,-45.015892028808594,up
-0.9263741970062256,0.008012155070900917,-0.03205680102109909,-0.06655662506818771,0.03152015805244446,0.035613443702459335,-33.7929573059082,7.261110305786133,-46.5236930847168,up
-1.0056084394454956,0.0883764997124672,0.04922676086425781,0.05197899788618088,0.03279220312833786,0.0605403371155262,-33.3731575012207,7.6912078857421875,-47.91376876831055,up
-0.9656210541725159,0.09541748464107513,0.0392351932823658,-0.05309049412608147,-0.06832654029130936,0.01805485226213932,-32.52826690673828,7.894007682800293,-48.57857131958008,up
-1.008076786994934,0.08716253191232681,0.06068051606416702,0.06845720112323761,-0.02274644747376442,0.05936490744352341,-32.4519157409668,8.064841270446777,-48.505130767822266,up
